"","followup_fallstudyhours","followup_getwritinghelp","followup_metwithinstructor","followup_metwithfreetutor","followup_imptodowellatuoft","followup_depressed","followup_stressed","fathers_education","mothers_education","fall_meangrade_year1","exp_gradschl","agreeableness2","agreeableness","extraversion2","extraversion","study_habit"
"75",20,4,0,2,3,2,2,5,6,70.3333358764648,1,-0.517853319644928,0,1.08381640911102,1,6
"76",10,3,2,2,3,3,3,2,2,61,1,-1.28867614269257,0,0.125095501542091,1,7
"77",10,4,0,0,7,1,2,6,6,70.6666641235352,1,1.98732089996338,1,-1.31298589706421,0,4
"78",12,5,2,8,6,2,1,1,2,67,0,-0.903264701366425,0,0.125095501542091,1,15
"79",12,3,2,1,6,2,2,2,2,50,0,1.40920376777649,1,-0.194478139281273,0,6
"80",18,5,0,0,4,2,2,6,6,88.75,1,0.0602638274431229,1,-0.194478139281273,0,5
"81",5,5,5,8,5,1,1,6,6,59,1,-1.28867614269257,0,-1.79234635829926,0,18
"82",3,4,1,0,7,2,3,8,6,73,0,-1.67408752441406,0,2.04253745079041,1,5
"83",8,5,1,2,6,1,2,6,6,43,1,-0.710559010505676,0,-0.354264974594116,0,8
"84",30,5,1,0,6,1,1,6,6,84,0,0.638380944728851,1,-1.31298589706421,0,6
"85",14,4,0,0,7,0,1,2,5,70.5,1,0.0602638274431229,1,-0.0346913151443005,0,4
"86",24,3,1,0,7,2,2,7,8,57,1,0.0602638274431229,1,0.125095501542091,1,4
"87",4,2,1,1,3,3,3,6,6,77.3333358764648,1,1.02379238605499,1,0.125095501542091,1,4
"88",4,5,1,0,5,1,2,2,1,65.25,1,-0.903264701366425,0,-0.0346913151443005,0,6
"89",8,5,5,2,6,2,3,2,2,50,0,0.638380944728851,1,-2.11192011833191,0,12
"90",15,2,0,0,5,2,2,2,2,46.5,0,1.40920376777649,1,0.444669157266617,1,2
"91",5,2,0,2,5,1,2,1,5,45,0,0.831086695194244,1,0.444669157266617,1,4
"92",7,6,0,0,7,1,2,7,3,61.6666679382324,0,-0.517853319644928,0,1.40339004993439,1,6
"93",3,3,0,0,6,1,1,5,6,82.5,0,0.0602638274431229,1,-0.514051795005798,0,3
"94",24,2,0,0,6,2,1,6,7,85,1,1.79461526870728,1,-1.47277271747589,0,2
"95",2,3,1,0,7,2,2,5,6,55,1,-0.710559010505676,0,0.444669157266617,1,4
"96",4,4,0,1,7,0,2,5,5,78.25,0,-1.28867614269257,0,1.2436032295227,1,5
"97",2,1,0,0,7,3,3,0,0,56.5,0,0.445675253868103,1,-0.67383861541748,0,1
"98",4,2,0,0,7,2,1,6,6,84,1,0.638380944728851,1,0.604456007480621,1,2
"99",8,4,0,2,3,2,2,7,2,71.3333358764648,1,-0.325147598981857,0,0.764242827892303,1,6
"100",9,6,8,8,7,3,3,7,7,61,0,-0.132441878318787,0,0.284882336854935,1,22
"101",3,4,1,2,6,3,3,5,5,58,0,0.445675253868103,1,0.604456007480621,1,7
"102",10,3,1,2,6,3,0,6,1,78.25,1,-0.132441878318787,0,-0.194478139281273,0,6
"103",23,4,2,2,7,3,3,1,1,77.25,0,-0.132441878318787,0,-0.0346913151443005,0,8
"104",14,6,2,5,7,1,2,6,5,59,1,-0.517853319644928,0,0.125095501542091,1,13
"105",16,5,2,8,6,1,1,6,6,68.5999984741211,1,0.0602638274431229,1,-0.833625435829163,0,15
"106",15,5,0,2,5,2,2,6,2,78,0,0.252969533205032,1,0.444669157266617,1,7
"107",6,4,2,1,4,2,1,5,5,71.75,1,0.831086695194244,1,-0.354264974594116,0,7
"108",6,3,0,2,4,2,2,6,6,70,0,-1.28867614269257,0,0.604456007480621,1,5
"109",4,4,5,2,4,1,2,1,1,56,0,0.445675253868103,1,0.444669157266617,1,11
"110",6,3,0,1,4,1,2,6,6,67.5,0,-1.09597039222717,0,0.924029648303986,1,4
"111",3,4,2,0,6,0,2,7,6,73,0,0.638380944728851,1,-0.0346913151443005,0,6
"112",3,1,0,0,5,2,2,5,5,71,0,1.40920376777649,1,-0.514051795005798,0,1
"113",1,5,2,0,6,3,3,6,6,73,1,1.21649813652039,1,1.2436032295227,1,7
"114",20,4,0,1,5,0,1,2,2,69,1,0.252969533205032,1,0.125095501542091,1,5
"115",2,4,2,0,7,1,2,8,6,86.3333358764648,1,0.0602638274431229,1,1.08381640911102,1,6
